z_i [m], U at height z_i [m/s]
10.954969217801056,65.54070156932114,
33.39658485069827,75.54294655776863,
56.93085111020986,81.69127378835252,
81.61641308219876,86.28353459172014,
107.51229259860347,89.48749989165519,
134.678461468063,91.66988189445483,
163.17672461928464,93.00321391202284,
193.07143103857015,93.72097703185801,
224.43138875759206,93.99554102701052,
257.32936948909213,93.97485641630767,
