z_i [m], wind direction at height z_i [deg]
10.954969217801056,14.341523336178252,
33.39658485069827,12.223931178882607,
56.93085111020986,9.694154285765682,
81.61641308219876,6.899191396654025,
107.51229259860347,4.075751047479952,
134.678461468063,1.362846784716534,
163.17672461928464,-1.162824423286931,
193.07143103857015,-3.489721010159007,
224.43138875759206,-5.6320658416378295,
257.32936948909213,-7.6294254768879926,
291.8411271807171,-9.500578951990299,
328.0455602915394,-11.234815456817433,
