z_i [m], Length scale for U streamwise at height z_i [m]
10.954969217801056,342.5942069664215,
33.39658485069827,406.9748268190129,
56.93085111020986,489.0410175925661,
81.61641308219876,568.1375640572188,
107.51229259860347,629.3700032483539,
134.678461468063,654.6934602539844,
163.17672461928464,639.5454130176366,
193.07143103857015,590.2101849576071,
224.43138875759206,537.9760649941251,
257.32936948909213,496.8928074309721,
291.8411271807171,463.68948482486724,
328.0455602915394,435.8206376470006,
