Time since start [s], center_x [m], center_y [m]
0.0,41361.14361381531,40500.03182601929,
600.0,40472.254026412964,43888.92337799072,
1200.0,37638.91846656799,40166.69823074341,
1800.0,40555.58742523193,41722.25500869751,
2400.0,40583.36522483826,42194.477602005005,
3000.0,42694.47799491882,42527.811197280884,
3600.0,42527.811197280884,42861.14479255676,
4200.0,40027.80923271179,40361.14282798767,
4800.0,44000.034576416016,40750.032022476196,
5400.0,44250.034772872925,42888.922592163086,
6000.0,48055.59331893921,44888.92416381836,
6600.0,43916.701177597046,44277.81257247925,
7200.0,44944.479763031006,41666.69940948486,
