z_i [m], Length scale for U streamwise at height z_i [m]
10.964909431832687,378.2214947310652,
33.43091612219615,435.51098367603385,
56.99769553088496,508.72051013282413,
81.72282362006331,576.5082182255868,
107.66541440007929,629.0659388050117,
134.88631856042747,659.7311747171241,
163.44865320229175,660.3328830718534,
193.4180768160344,632.2989480311161,
224.86375062061543,601.7605735958605,
257.85795400995295,558.5694558796208,
292.47568852835667,508.8970233869071,
328.7958144597172,471.27307240839934,
