z_i [m], wind direction at height z_i [deg]
10.964909431832687,14.297601533839313,
33.43091612219615,12.167453400137743,
56.99769553088496,9.605151471614592,
81.72282362006331,6.801478414706368,
107.66541440007929,3.9862239371913657,
134.88631856042747,1.2925565680580935,
163.44865320229175,-1.2050874283666022,
193.4180768160344,-3.4964487217606393,
224.86375062061543,-5.585706421115235,
257.85795400995295,-7.483892852093359,
292.47568852835667,-9.213802363414844,
328.7958144597172,-10.810585095758581,
