! ------------ AirfoilInfo v1.01.x Input File ----------------------------------
! AeroElasticSE FAST driver
! line
! line
! ------------------------------------------------------------------------------
DEFAULT                  InterpOrd   ! Interpolation order to use for quasi-steady table lookup {1=linear; 3=cubic spline; "default"} [default=3]
1                        NonDimArea  ! The non-dimensional area of the airfoil (area/chord^2) (set to 1.0 if unsure or unneeded)
0                            NumCoords   ! The number of coordinates in the airfoil shape file. Set to zero if coordinates not included.
AF12_BL.txt              BL_file     ! The file name including the boundary layer characteristics of the profile. Ignored if the aeroacoustic module is not called.
1                        NumTabs     ! Number of airfoil tables in this file.  Each table must have lines for Re and Ctrl.
! ------------------------------------------------------------------------------
! data for table 1 
! ------------------------------------------------------------------------------
3.000000                 Re          ! Reynolds number in millions
0                        Ctrl        ! Control setting (must be 0 for current AirfoilInfo)
True                     InclUAdata  ! Is unsteady aerodynamics data included in this table? If TRUE, then include 30 UA coefficients below this line
!........................................
-1.442504                alpha0      ! 0-lift angle of attack, depends on airfoil.
14.646076                alpha1      ! Angle of attack at f=0.7, (approximately the stall angle) for AOA>alpha0. (deg)
-7.744161                alpha2      ! Angle of attack at f=0.7, (approximately the stall angle) for AOA<alpha0. (deg)
1.000000                 eta_e       ! Recovery factor in the range [0.85 - 0.95] used only for UAMOD=1, it is set to 1 in the code when flookup=True. (-)
6.820018                 C_nalpha    ! Slope of the 2D normal force coefficient curve. (1/rad)
Default                  T_f0        ! Initial value of the time constant associated with Df in the expression of Df and f. [default = 3]
Default                  T_V0        ! Initial value of the time constant associated with the vortex lift decay process; it is used in the expression of Cvn. It depends on Re,M, and airfoil class. [default = 6]
Default                  T_p         ! Boundary-layer,leading edge pressure gradient time constant in the expression of Dp. It should be tuned based on airfoil experimental data. [default = 1.7]
Default                  T_VL        ! Initial value of the time constant associated with the vortex advection process; it represents the non-dimensional time in semi-chords, needed for a vortex to travel from LE to trailing edge (TE); it is used in the expression of Cvn. It depends on Re, M (weakly), and airfoil. [valid range = 6 - 13, default = 11]
Default                  b1          ! Constant in the expression of phi_alpha^c and phi_q^c.  This value is relatively insensitive for thin airfoils, but may be different for turbine airfoils. [from experimental results, defaults to 0.14]
Default                  b2          ! Constant in the expression of phi_alpha^c and phi_q^c.  This value is relatively insensitive for thin airfoils, but may be different for turbine airfoils. [from experimental results, defaults to 0.53]
Default                  b5          ! Constant in the expression of K'''_q,Cm_q^nc, and k_m,q.  [from  experimental results, defaults to 5]
Default                  A1          ! Constant in the expression of phi_alpha^c and phi_q^c.  This value is relatively insensitive for thin airfoils, but may be different for turbine airfoils. [from experimental results, defaults to 0.3]
Default                  A2          ! Constant in the expression of phi_alpha^c and phi_q^c.  This value is relatively insensitive for thin airfoils, but may be different for turbine airfoils. [from experimental results, defaults to 0.7]
Default                  A5          ! Constant in the expression of K'''_q,Cm_q^nc, and k_m,q. [from experimental results, defaults to 1]
0.000000                 S1          ! Constant in the f curve best-fit for alpha0<=AOA<=alpha1; by definition it depends on the airfoil. [ignored if UAMod<>1]
0.000000                 S2          ! Constant in the f curve best-fit for         AOA> alpha1; by definition it depends on the airfoil. [ignored if UAMod<>1]
0.000000                 S3          ! Constant in the f curve best-fit for alpha2<=AOA< alpha0; by definition it depends on the airfoil. [ignored if UAMod<>1]
0.000000                 S4          ! Constant in the f curve best-fit for         AOA< alpha2; by definition it depends on the airfoil. [ignored if UAMod<>1]
1.713299                 Cn1         ! Critical value of C0n at leading edge separation. It should be extracted from airfoil data at a given Mach and Reynolds number. It can be calculated from the static value of Cn at either the break in the pitching moment or the loss of chord force at the onset of stall. It is close to the condition of maximum lift of the airfoil at low Mach numbers.
-1.272488                Cn2         ! As Cn1 for negative AOAs.
Default                  St_sh       ! Strouhal's shedding frequency constant.  [default = 0.19]
0.000000                 Cd0         ! 2D drag coefficient value at 0-lift.
0.054360                 Cm0         ! 2D pitching moment coefficient about 1/4-chord location, at 0-lift, positive if nose up. [If the aerodynamics coefficients table does not include a column for Cm, this needs to be set to 0.0]
0.000000                 k0          ! Constant in the \hat(x)_cp curve best-fit; = (\hat(x)_AC-0.25).  [ignored if UAMod<>1]
0.000000                 k1          ! Constant in the \hat(x)_cp curve best-fit.  [ignored if UAMod<>1]
0.000000                 k2          ! Constant in the \hat(x)_cp curve best-fit.  [ignored if UAMod<>1]
0.000000                 k3          ! Constant in the \hat(x)_cp curve best-fit.  [ignored if UAMod<>1]
0.000000                 k1_hat      ! Constant in the expression of Cc due to leading edge vortex effects.  [ignored if UAMod<>1]
Default                  x_cp_bar    ! Constant in the expression of \hat(x)_cp^v. [ignored if UAMod<>1, default = 0.2]
Default                  UACutout    ! Angle of attack above which unsteady aerodynamics are disabled (deg). [Specifying the string "Default" sets UACutout to 45 degrees]
Default                  filtCutOff  ! Cut-off frequency (-3 dB corner frequency) for low-pass filtering the AoA input to UA, as well as the 1st and 2nd derivatives (Hz) [default = 20]
!........................................
! Table of aerodynamics coefficients
200                      NumAlf      ! Number of data lines in the following table
!    Alpha      Cl      Cd        Cm
!    (deg)      (-)     (-)       (-)
-1.80000000000000e+02 -2.17596669487708e-02  6.98213085752849e-02  3.03096980841607e-02
-1.77000000000000e+02  3.14775252329707e-02  6.81562821646075e-02 -7.55616653417731e-02
-1.74000000000000e+02  1.16997544689782e-01  6.89547097903306e-02 -1.93279982723917e-01
-1.71000000000000e+02  2.20565664292944e-01  8.21058872549475e-02 -3.15529957689858e-01
-1.68000000000000e+02  4.01641377847993e-01  1.40523427680030e-01 -4.40153496136954e-01
-1.65000000000000e+02  5.66383694819090e-01  2.51444284392933e-01 -5.23862232755321e-01
-1.62000000000000e+02  3.81844009850673e-01  3.09234890841449e-01 -4.46181037379722e-01
-1.59000000000000e+02  2.60602824745202e-01  3.56110818003704e-01 -4.05466888363464e-01
-1.56000000000000e+02  2.39161693958890e-01  3.93311286604933e-01 -4.24392279262447e-01
-1.53000000000000e+02  2.29234009439667e-01  4.35577717028556e-01 -4.56312543948868e-01
-1.50000000000000e+02  2.42133742497854e-01  5.15878562806355e-01 -5.04500998267591e-01
-1.47000000000000e+02  2.87934796744435e-01  6.46589855368525e-01 -5.82345890321952e-01
-1.44000000000000e+02  3.15415429292383e-01  7.47713367272240e-01 -6.34615687673074e-01
-1.41000000000000e+02  2.96779593886468e-01  7.90088808985210e-01 -6.47656121056484e-01
-1.38000000000000e+02  2.62187572604746e-01  8.21944910667401e-01 -6.56106197130287e-01
-1.35000000000000e+02  2.42499137813623e-01  8.77437673574644e-01 -6.75210596190500e-01
-1.32000000000000e+02  2.34959114697039e-01  9.95053316405227e-01 -7.31933345130284e-01
-1.29000000000000e+02  2.26828895991797e-01  1.11211141495972e+00 -7.86501463839550e-01
-1.26000000000000e+02  2.04621671222396e-01  1.16839809502769e+00 -8.01519280966637e-01
-1.23000000000000e+02  1.57194112245216e-01  1.20341597612608e+00 -8.07849140790000e-01
-1.20000000000000e+02  1.02716390307449e-01  1.23846005697095e+00 -8.14695967535252e-01
-1.17000000000000e+02  4.79551405413251e-02  1.28686765295300e+00 -8.27471796883148e-01
-1.14000000000000e+02 -1.26116431921907e-02  1.33900189137211e+00 -8.42625964955536e-01
-1.11000000000000e+02 -7.75201727879283e-02  1.37730788673814e+00 -8.52541854287174e-01
-1.08000000000000e+02 -1.47253306171257e-01  1.39131150156861e+00 -8.52710569101009e-01
-1.05000000000000e+02 -2.24321763922033e-01  1.39797747696542e+00 -8.50259684845715e-01
-1.02000000000000e+02 -3.02762838772703e-01  1.40441350240106e+00 -8.47813384709120e-01
-9.90000000000000e+01 -3.76413164708641e-01  1.41775629084101e+00 -8.48202393005310e-01
-9.60000000000000e+01 -4.45943667394441e-01  1.45379372278201e+00 -8.60136448068024e-01
-9.30000000000000e+01 -5.13777475735412e-01  1.49467954718766e+00 -8.76058769872251e-01
-9.00000000000000e+01 -5.81459824054776e-01  1.51414685560666e+00 -8.84023068785289e-01
-8.70000000000000e+01 -6.52020983521907e-01  1.50231322995085e+00 -8.77009464484029e-01
-8.40000000000000e+01 -7.22990671271505e-01  1.47347492406135e+00 -8.60275992808464e-01
-8.10000000000000e+01 -7.87687244660985e-01  1.43758664046082e+00 -8.39987305857313e-01
-7.80000000000000e+01 -8.40627188448548e-01  1.39813031720128e+00 -8.19206620160930e-01
-7.50000000000000e+01 -8.85217077888669e-01  1.34592732427632e+00 -7.93148719468339e-01
-7.20000000000000e+01 -9.28325651808424e-01  1.29087933703568e+00 -7.67708797908808e-01
-6.90000000000000e+01 -9.76859321776765e-01  1.24392068614553e+00 -7.49214071759260e-01
-6.60000000000000e+01 -1.03360826004514e+00  1.20615205950616e+00 -7.36849354852784e-01
-6.30000000000000e+01 -1.09120284057420e+00  1.16918483523432e+00 -7.25856816928455e-01
-6.00000000000000e+01 -1.14098288795573e+00  1.12443249840308e+00 -7.11911120119118e-01
-5.70000000000000e+01 -1.18516060265469e+00  1.06534230159324e+00 -6.92199337858246e-01
-5.40000000000000e+01 -1.22586527746472e+00  9.93349533680469e-01 -6.67353549235225e-01
-5.10000000000000e+01 -1.25446666247021e+00  9.11833662290889e-01 -6.38024189517801e-01
-4.80000000000000e+01 -1.26765799826881e+00  8.19023810768128e-01 -6.02621294337419e-01
-4.50000000000000e+01 -1.27735512710153e+00  7.07348815913158e-01 -5.57236817161442e-01
-4.20000000000000e+01 -1.28330740162640e+00  5.91928081363130e-01 -5.07525202528399e-01
-3.90000000000000e+01 -1.28099932422566e+00  4.87433769691449e-01 -4.57468424135411e-01
-3.60000000000000e+01 -1.24597047017844e+00  3.86992431314771e-01 -3.96141728212865e-01
-3.30000000000000e+01 -1.22097733329834e+00  3.05451466611585e-01 -3.62826894387068e-01
-3.00000000000000e+01 -1.29631534552955e+00  2.53213974273155e-01 -3.61725547415882e-01
-2.93939393939394e+01 -1.30454184321514e+00  2.42939913274676e-01 -3.60802518318799e-01
-2.87878787878788e+01 -1.31220941336884e+00  2.32717112905475e-01 -3.59017694175019e-01
-2.81818181818182e+01 -1.31856754613651e+00  2.22633177513657e-01 -3.56641327802061e-01
-2.75757575757576e+01 -1.32286350970560e+00  2.12775711447328e-01 -3.53943037208866e-01
-2.69696969696970e+01 -1.32434540890425e+00  2.03232124943534e-01 -3.51191104533519e-01
-2.63636363636364e+01 -1.32327434139324e+00  1.93986601148137e-01 -3.48258395828101e-01
-2.57575757575758e+01 -1.32049420354207e+00  1.84971593815172e-01 -3.44895581669772e-01
-2.51515151515151e+01 -1.31634161349427e+00  1.76174568203623e-01 -3.41096553024066e-01
-2.45454545454545e+01 -1.31115338366710e+00  1.67582989572473e-01 -3.36855212403805e-01
-2.39393939393939e+01 -1.30522040696960e+00  1.59182750286069e-01 -3.32156456263199e-01
-2.33333333333333e+01 -1.29402882964613e+00  1.50817404899006e-01 -3.26049443462404e-01
-2.27272727272727e+01 -1.27684330958813e+00  1.42525836995962e-01 -3.18608112889490e-01
-2.21212121212121e+01 -1.25710385214298e+00  1.34502243386485e-01 -3.10827660386227e-01
-2.15151515151515e+01 -1.23824505592156e+00  1.26940820880122e-01 -3.03701239492037e-01
-2.09090909090909e+01 -1.22364326166372e+00  1.20032534498124e-01 -2.98203911156878e-01
-2.03030303030303e+01 -1.21267348101507e+00  1.13723836197643e-01 -2.94064247131173e-01
-1.96969696969697e+01 -1.20314270043856e+00  1.07835852777658e-01 -2.90545209437477e-01
-1.90909090909091e+01 -1.19411329769498e+00  1.02256620520005e-01 -2.87308409365865e-01
-1.84848484848485e+01 -1.18464807933982e+00  9.68741757065206e-02 -2.84015565355620e-01
-1.78787878787879e+01 -1.17388127640690e+00  9.15893080943365e-02 -2.80355419416148e-01
-1.72727272727273e+01 -1.16313403176586e+00  8.65479176622300e-02 -2.76844012070254e-01
-1.66666666666667e+01 -1.15223761201931e+00  8.17306810461530e-02 -2.73434483959898e-01
-1.60606060606061e+01 -1.13983412873991e+00  7.69808663435953e-02 -2.69630320118683e-01
-1.54545454545455e+01 -1.12456405448820e+00  7.21415484166991e-02 -2.64934540027151e-01
-1.48484848484848e+01 -1.10450312173351e+00  6.70506251484580e-02 -2.58680814998407e-01
-1.42424242424242e+01 -1.06837774980093e+00  6.15510997711787e-02 -2.47429208757533e-01
-1.36363636363636e+01 -1.01834403966290e+00  5.58262288939233e-02 -2.31846847938249e-01
-1.30303030303030e+01 -9.62510795981873e-01  5.01445883849485e-02 -2.14398155826466e-01
-1.24242424242424e+01 -9.08985481516598e-01  4.47751105248856e-02 -1.97546985649239e-01
-1.18181818181818e+01 -8.65284520229392e-01  3.99306111563800e-02 -1.83541186782840e-01
-1.12121212121212e+01 -8.27615032445593e-01  3.50391042098365e-02 -1.70812222901461e-01
-1.06060606060606e+01 -7.92381662954687e-01  3.02303274844913e-02 -1.58577099764447e-01
-1.00000000000000e+01 -7.58440178318014e-01  2.59577667183323e-02 -1.47039643715016e-01
-9.39393939393939e+00 -7.24646932529395e-01  2.26754041583769e-02 -1.36403869593245e-01
-8.78787878787879e+00 -6.90263160190391e-01  2.07468314387056e-02 -1.26947638243343e-01
-8.18181818181818e+00 -6.58388852187036e-01  1.93979040396015e-02 -1.19316845291141e-01
-7.57575757575758e+00 -6.27632168799274e-01  1.83062447134039e-02 -1.12686879337963e-01
-6.96969696969697e+00 -5.94857488202758e-01  1.74269867422655e-02 -1.05733196737400e-01
-6.36363636363636e+00 -5.57074462135742e-01  1.67152390796456e-02 -9.73924089435170e-02
-5.75757575757576e+00 -5.10927428166145e-01  1.61219030253659e-02 -8.62799042207549e-02
-5.15151515151515e+00 -4.50593986921494e-01  1.55849638157983e-02 -7.02569325445214e-02
-4.54545454545454e+00 -3.79526058508867e-01  1.51126861019559e-02 -5.05365204521532e-02
-3.93939393939394e+00 -3.03028544382554e-01  1.47252676169409e-02 -2.89914029104767e-02
-3.33333333333333e+00 -2.26406345996844e-01  1.44438307973943e-02 -7.49431488631808e-03
-2.72727272727273e+00 -1.53953459099816e-01  1.42762513597139e-02  1.24306561059797e-02
-2.12121212121212e+00 -8.17470679355733e-02  1.41413021974177e-02  3.21252214021868e-02
