f_i [Hz], Energy spectrum for w'U_crsstrm' at f_i [m4/s3]
0.0016668730563181092,3156.3808775714606,
0.0033337461126362183,3754.036806637928,
0.0050006191689543275,3975.214749305075,
0.006667492225272437,3784.622756729789,
0.008334365281590546,3216.443138865751,
0.010001238337908655,3095.022421277072,
0.011668111394226764,3133.540433752984,
0.013334984450544873,3454.8305001717463,
0.015001857506862983,3547.420342977859,
0.01666873056318109,3265.6543299464515,
0.0183356036194992,2904.0825251112183,
0.02000247667581731,3145.6765219006184,
0.02166934973213542,3685.7776044861002,
0.02333622278845353,3759.6449668853556,
0.025003095844771638,3256.0480809299575,
0.026669968901089747,3024.375044207845,
0.028336841957407856,3271.403940256839,
0.030003715013725965,3557.8620387474325,
0.031670588070044074,3314.1659630267864,
0.03333746112636218,3395.081682783438,
0.03500433418268029,3087.9781576874434,
0.0366712072389984,3059.5735334548394,
0.03833808029531651,2818.4520467809934,
0.04000495335163462,2608.0025862279576,
0.04167182640795273,2608.341436983654,
0.04333869946427084,2604.2056477712067,
0.04500557252058895,2546.1163453463787,
0.04667244557690706,2700.910011354204,
0.048339318633225166,2521.7572775038734,
0.050006191689543275,2732.9656493520406,
0.051673064745861384,2873.796179858662,
0.05333993780217949,2655.34956531226,
0.0550068108584976,2537.54875491876,
0.05667368391481571,2445.127926790707,
0.05834055697113382,2393.8580245594885,
0.06000743002745193,2438.4673671232067,
0.06167430308377004,2352.3469150509695,
0.06334117614008815,2181.168560839357,
0.06500804919640626,2329.6264940973647,
0.06667492225272437,2106.319873421812,
0.06834179530904247,1919.2199067042504,
0.07000866836536059,2163.82780423533,
0.0716755414216787,2007.6526311261125,
0.0733424144779968,1789.25451577681,
0.0750092875343149,1728.135200130973,
0.07667616059063302,1709.4254891342428,
0.07834303364695114,1579.3087541896955,
0.08000990670326924,1559.336558209399,
0.08167677975958734,1417.6779253327961,
0.08334365281590546,1516.733336961418,
0.08501052587222357,1706.3805782428562,
0.08667739892854168,1562.3483307195186,
0.08834427198485978,1427.4723815512175,
0.0900111450411779,1362.9521067405421,
0.09167801809749601,1526.956094371891,
0.09334489115381411,1601.092651968197,
0.09501176421013222,1356.109912087029,
0.09667863726645033,1127.7361733749776,
0.09834551032276845,1226.44828499787,
0.10001238337908655,1195.027561037027,
0.10167925643540465,1083.620625462474,
0.10334612949172277,1121.4599056509553,
0.10501300254804088,1082.9187617176076,
0.10667987560435899,970.2658632258733,
0.10834674866067709,918.0178316625738,
0.1100136217169952,961.2923262465855,
0.11168049477331332,1008.0173030611825,
0.11334736782963142,1009.7248529204727,
0.11501424088594953,1053.0770231918627,
0.11668111394226764,988.490107281017,
0.11834798699858576,972.2789281682046,
0.12001486005490386,873.1589823937255,
0.12168173311122196,860.4044356857726,
0.12334860616754008,842.3198827529743,
0.1250154792238582,866.12662407624,
0.1266823522801763,989.0203757772516,
0.1283492253364944,853.905297551232,
0.13001609839281253,711.5898578176195,
0.13168297144913063,661.0753574853939,
0.13334984450544873,641.0253154056735,
0.13501671756176684,658.674397566898,
0.13668359061808494,667.9829859086532,
0.13835046367440307,736.5908179044258,
0.14001733673072117,655.0341190971808,
0.14168420978703927,608.224499648212,
0.1433510828433574,677.386155999719,
0.1450179558996755,658.6193452039536,
0.1466848289559936,619.8277191914802,
0.1483517020123117,521.7655089295978,
0.1500185750686298,585.9369766818513,
0.15168544812494794,574.2892955811561,
