f_i [Hz], Energy spectrum for U_strmws' at f_i [m2/s]
0.0016668730563181092,621.705070164408,
0.0033337461126362183,668.4396757093134,
0.0050006191689543275,673.693679270297,
0.006667492225272437,835.0690612939261,
0.008334365281590546,900.6631465309783,
0.010001238337908655,903.1891013550114,
0.011668111394226764,920.5220944379475,
0.013334984450544873,769.4564418821092,
0.015001857506862983,666.4914540849015,
0.01666873056318109,544.9871884118334,
0.0183356036194992,563.6522868685994,
0.02000247667581731,530.2728587376677,
0.02166934973213542,461.80810487887317,
0.02333622278845353,441.6078078961441,
0.025003095844771638,384.0066777050635,
0.026669968901089747,309.42172701387227,
0.028336841957407856,288.48968463811553,
0.030003715013725965,267.5166969585855,
0.031670588070044074,274.97405606799543,
0.03333746112636218,244.3400970009059,
0.03500433418268029,209.70530893457675,
0.0366712072389984,203.9942328175623,
0.03833808029531651,196.97747205233057,
0.04000495335163462,189.78404571331268,
0.04167182640795273,170.65695815608703,
0.04333869946427084,152.94059374945007,
0.04500557252058895,151.25617603683415,
0.04667244557690706,137.83006632607717,
0.048339318633225166,119.29761443405702,
0.050006191689543275,115.34537024256822,
0.051673064745861384,114.05158448338169,
0.05333993780217949,107.39783162760119,
0.0550068108584976,102.04826877145567,
0.05667368391481571,91.94099312458123,
0.05834055697113382,90.79225899731097,
0.06000743002745193,89.25202511369835,
0.06167430308377004,89.20167476780226,
0.06334117614008815,87.29389059808784,
0.06500804919640626,73.99548603651263,
0.06667492225272437,68.87598333171856,
0.06834179530904247,65.98547228670105,
0.07000866836536059,62.64883283605228,
0.0716755414216787,65.67577645896442,
0.0733424144779968,58.64474304278521,
0.0750092875343149,58.93642536108481,
0.07667616059063302,60.48571354164282,
0.07834303364695114,57.135112489760125,
0.08000990670326924,50.55536681450503,
0.08167677975958734,48.97582805013295,
0.08334365281590546,50.36945772523139,
0.08501052587222357,48.982478389624895,
0.08667739892854168,44.336800664772774,
0.08834427198485978,45.12513504987381,
0.0900111450411779,46.3952642120725,
0.09167801809749601,41.39734888637314,
0.09334489115381411,37.23843296183498,
0.09501176421013222,35.26150050184053,
0.09667863726645033,33.93079050825404,
0.09834551032276845,33.67492434602167,
0.10001238337908655,33.163085246340025,
0.10167925643540465,31.765018705964945,
0.10334612949172277,29.265176454093332,
0.10501300254804088,27.357822133183422,
0.10667987560435899,28.372625881571146,
0.10834674866067709,27.825968490314306,
0.1100136217169952,26.706160964831863,
0.11168049477331332,25.484902641820923,
