f_i [Hz], Energy spectrum for w' at f_i [m2/s]
0.0016668730563181092,103.14890908283449,
0.0033337461126362183,122.358041739253,
0.0050006191689543275,116.81697745854308,
0.006667492225272437,117.49028211822299,
0.008334365281590546,117.3145485170199,
0.010001238337908655,111.51477631077645,
0.011668111394226764,114.92762353518056,
0.013334984450544873,109.4071341153187,
0.015001857506862983,95.81833070645166,
0.01666873056318109,88.0007533129638,
0.0183356036194992,90.36609539680173,
0.02000247667581731,91.25328006202915,
0.02166934973213542,88.46660241935278,
0.02333622278845353,90.28786614099212,
0.025003095844771638,83.31297311259917,
0.026669968901089747,73.1272327997175,
0.028336841957407856,66.61945438500645,
0.030003715013725965,63.45663486750815,
0.031670588070044074,58.53968781649944,
0.03333746112636218,60.839910042256165,
0.03500433418268029,53.69736683506101,
0.0366712072389984,52.4596247707579,
0.03833808029531651,46.76277756334775,
0.04000495335163462,42.96921260870237,
0.04167182640795273,38.747101877057624,
0.04333869946427084,39.43717856882797,
0.04500557252058895,37.351502688263295,
0.04667244557690706,35.665237987011224,
0.048339318633225166,35.52856480573585,
0.050006191689543275,32.853107811717265,
0.051673064745861384,29.436324195004794,
0.05333993780217949,32.84242109233655,
0.0550068108584976,31.401654549738737,
0.05667368391481571,26.77407847670574,
0.05834055697113382,26.883989526412638,
0.06000743002745193,26.43647155458863,
0.06167430308377004,26.47921951714134,
0.06334117614008815,26.202403185142522,
0.06500804919640626,24.307025328754058,
0.06667492225272437,24.104927980196454,
0.06834179530904247,23.592082571708,
0.07000866836536059,21.58662739613458,
0.0716755414216787,20.95220054249064,
0.0733424144779968,22.59632237113384,
0.0750092875343149,20.77268362183484,
0.07667616059063302,19.99314733948241,
0.07834303364695114,19.782298827203128,
0.08000990670326924,17.6017218324904,
0.08167677975958734,16.250947734304127,
0.08334365281590546,18.25602334900244,
0.08501052587222357,19.056835088101714,
0.08667739892854168,18.046776813445184,
0.08834427198485978,15.664673206807766,
0.0900111450411779,16.1411182511349,
0.09167801809749601,17.61646510104981,
0.09334489115381411,15.588362872857886,
0.09501176421013222,15.105969628385095,
0.09667863726645033,16.301764821542573,
0.09834551032276845,12.59174470326445,
0.10001238337908655,13.302486909029863,
0.10167925643540465,13.182040140278938,
0.10334612949172277,12.853390618087577,
0.10501300254804088,13.833204730303203,
0.10667987560435899,13.227679422536957,
0.10834674866067709,12.268212949307106,
0.1100136217169952,12.018001107462362,
0.11168049477331332,11.475814652835439,
