z_i [m], std U cross-stream at height z_i [m/s]
10.924616209350432,3.829926695405891,
33.308967209350456,4.005453487045811,
56.790878653444636,4.266984541791147,
81.42577146299215,4.735751570022739,
107.27103551623995,5.19301530016808,
134.38673383405512,5.485952213916684,
162.83583028149673,5.61350244916599,
192.68374988277546,5.640314517741877,
223.99954402440954,5.617464094623166,
256.85624089822784,5.5675045885677035,
291.330422562007,5.4722112367902165,
327.50237077303115,5.368379869157215,
