z_i [m], wind direction at height z_i [deg]
10.924616209350432,17.93797808235256,
33.308967209350456,15.274338760198544,
56.790878653444636,11.982084178162202,
81.42577146299215,8.401816829512663,
107.27103551623995,4.876903299012031,
134.38673383405512,1.6115888105210678,
162.83583028149673,-1.331256765668091,
192.68374988277546,-3.9619772205165407,
223.99954402440954,-6.330260880453557,
256.85624089822784,-8.479919096184052,
291.330422562007,-10.42909567187472,
327.50237077303115,-12.183251818579642,
