Radius [m], PBLH [m]
0.0,223.9412994384766,
1500.0,254.52263195261946,
3000.0,286.4116464970581,
4500.0,299.3220502209039,
6000.0,294.3380314788718,
7500.0,300.5490927994676,
9000.0,293.62697836915635,
10500.0,284.52523884822085,
12000.0,280.7162583278568,
13500.0,280.3339547207659,
15000.0,269.3163692583573,
16500.0,260.17500619945923,
18000.0,274.04151287893245,
19500.0,292.5095344449742,
21000.0,311.7567102755864,
22500.0,335.2401594969674,
24000.0,354.2657887334573,
25500.0,365.29438249064646,
27000.0,375.37086769035784,
28500.0,390.32502501070127,
30000.0,404.1357628856609,
31500.0,421.84112810304987,
33000.0,439.96388223910867,
34500.0,463.39492424581084,
36000.0,493.3997255515678,
37500.0,512.6578623165253,
39000.0,520.6812699423817,
40500.0,532.3140937392327,
42000.0,550.2951950478887,
43500.0,567.6728919630784,
45000.0,579.4114385536012,
46500.0,581.196033694258,
48000.0,582.3024274852021,
49500.0,599.229415047289,
51000.0,613.2454524621403,
52500.0,632.9723372504424,
54000.0,635.2583542010456,
55500.0,635.9853418197464,
57000.0,642.641457574192,
58500.0,650.0744343656894,
60000.0,660.6840329309575,
61500.0,669.6144305035883,
63000.0,675.6085355470902,
64500.0,680.424692815901,
66000.0,682.721515492757,
67500.0,682.2681506634335,
69000.0,681.1617866993756,
70500.0,679.2329570898941,
72000.0,675.096038082418,
73500.0,674.781986972528,
75000.0,673.5927813147758,
76500.0,676.69656255062,
78000.0,678.416844563026,
79500.0,680.2151240371836,
81000.0,682.6675157175239,
82500.0,688.3064203138722,
84000.0,693.9405288496217,
85500.0,696.7351689697065,
87000.0,700.1848547651044,
88500.0,703.471013309459,
90000.0,707.6864126807205,
91500.0,714.7985148760978,
93000.0,721.9969512762336,
94500.0,724.8999106802471,
96000.0,725.123542878018,
97500.0,728.7012073478869,
99000.0,732.4953975042766,
100500.0,738.5269858730414,
102000.0,738.3767108114026,
103500.0,737.4028920958434,
105000.0,737.7714413350874,
106500.0,736.8800498901791,
108000.0,736.7739835865847,
109500.0,737.3112253361629,
111000.0,735.6841657421,
112500.0,730.7340430949325,
114000.0,724.626580617095,
115500.0,718.8606188704351,
117000.0,711.7481135129611,
118500.0,706.1076037035552,
120000.0,704.1760184228201,
121500.0,705.0305934703117,
123000.0,705.5187635420937,
124500.0,703.0017765687819,
126000.0,698.658694354112,
127500.0,694.7178499485751,
129000.0,691.3173010183136,
130500.0,689.4629093739447,
132000.0,688.1016351274708,
133500.0,687.1900229931151,
135000.0,684.3804107889312,
136500.0,679.2847204964683,
138000.0,672.4699614200374,
139500.0,664.4734090588013,
141000.0,655.3675886647601,
142500.0,645.536673809033,
144000.0,635.0087823126909,
145500.0,625.6736644218089,
147000.0,618.0270710946104,
148500.0,612.5964633415789,
150000.0,607.0517569192232,
151500.0,599.1435775220422,
153000.0,588.7464583037931,
154500.0,576.8397883062723,
156000.0,563.9371168410903,
157500.0,550.54480651784,
159000.0,537.8832022584359,
160500.0,526.3016445497981,
162000.0,515.767057800701,
163500.0,505.51983006456277,
165000.0,495.7026633278929,
166500.0,485.73482484683814,
168000.0,474.2974063801851,
169500.0,462.5513732131009,
171000.0,450.7209257065159,
172500.0,439.64254919939196,
174000.0,429.3566818833288,
175500.0,420.75848218343026,
177000.0,413.8285350411098,
178500.0,407.5282521953035,
180000.0,400.858908413095,
181500.0,394.5492781161228,
183000.0,388.34500461085133,
184500.0,382.8721618675936,
186000.0,378.8568931540035,
187500.0,376.77902753981357,
189000.0,375.28679989503974,
190500.0,374.23794037749974,
192000.0,372.9448192941275,
193500.0,370.1185923215801,
195000.0,365.23163896734206,
196500.0,359.4980082419521,
198000.0,353.8319197930292,
199500.0,349.3579746991091,
201000.0,345.352957534808,
202500.0,341.3920953732056,
204000.0,338.23951399416745,
205500.0,335.55083401573233,
207000.0,334.0036435294927,
208500.0,333.685908305537,
210000.0,333.9742275629288,
211500.0,334.6357121374895,
213000.0,336.03202139392886,
214500.0,338.32006177685224,
216000.0,341.47139508030045,
217500.0,345.33630466610595,
219000.0,350.23390886645785,
220500.0,354.7365845839284,
222000.0,358.3464632974436,
223500.0,362.0734689360659,
225000.0,366.15274083556693,
226500.0,370.70604677045486,
228000.0,376.8117870367964,
229500.0,383.25302017122084,
231000.0,389.29781428760174,
232500.0,395.35955002072114,
234000.0,401.2215954995416,
235500.0,406.6011852533539,
237000.0,411.3721464866794,
238500.0,415.6496436815427,
240000.0,419.4752064627908,
