z_i [m], wind direction at height z_i [deg]
10.784798869708037,17.817011794382815,
32.88407940875925,15.145725502575774,
56.06937394817523,11.904634756506379,
80.39488092171518,8.408054691597533,
105.91677096587628,4.974214042022747,
132.6939399254567,1.7812433688296032,
160.78858378083902,-1.1020423243113187,
190.26557664105775,-3.6709768182031404,
221.19331675866576,-5.9742071790924065,
253.6436746371337,-8.068303763976658,
287.69200488366937,-9.972672814283936,
323.4168127487218,-11.709273308395932,
