z_i [m], Length scale for U streamwise at height z_i [m]
10.784798869708037,283.11976704165187,
32.88407940875925,341.40357832332813,
56.06937394817523,409.51747591761324,
80.39488092171518,467.2336014372741,
105.91677096587628,503.93725227949875,
132.6939399254567,506.4904966644071,
160.78858378083902,478.0849661105559,
190.26557664105775,430.2362149634202,
221.19331675866576,385.62148646377176,
253.6436746371337,352.79167219666596,
287.69200488366937,328.5831219576515,
323.4168127487218,307.3759391973994,
