Time since start [s], center_x [m], center_y [m]
0.0,43750.03437995911,42722.25579452515,
600.0,42750.03359413147,43333.36738586426,
1200.0,41111.1434173584,45527.813554763794,
1800.0,41722.25500869751,43194.47838783264,
2400.0,41611.14381027222,44333.368171691895,
3000.0,44083.367975234985,43638.92318153381,
3600.0,43666.70098114014,41333.365814208984,
4200.0,43555.589782714844,41750.03280830383,
4800.0,45138.92436027527,42277.811000823975,
5400.0,44333.368171691895,42083.36640357971,
6000.0,44277.81257247925,43277.81178665161,
