z_i [m], Length scale for U streamwise at height z_i [m]
10.71584720184333,277.93042375103954,
32.67243309562201,335.91401989777825,
55.70510086394019,413.36787059528496,
79.86750128640574,485.648798213653,
105.21552774389451,535.3363531615094,
131.80778846612952,556.2963178172852,
159.7056884862902,564.7913951964053,
188.97321724216545,545.4227720820649,
219.6789729216597,507.3496099193427,
251.8952548629037,478.79856410344104,
285.69697864827253,465.5841027063198,
321.16344016970015,468.87867079155853,
