f_i [Hz], Energy spectrum for U_crsstrm' at f_i [m2/s]
0.0016668685729220474,567.3820385039031,
0.003333737145844095,514.9489696660015,
0.005000605718766142,457.663552250024,
0.00666747429168819,452.4594682115107,
0.008334342864610237,419.6093916257247,
0.010001211437532284,349.02703788774437,
0.011668080010454333,321.68078189832187,
0.01333494858337638,291.69134656898643,
0.015001817156298426,254.47304050239643,
0.016668685729220475,253.66637233902335,
0.018335554302142523,219.85183063226583,
0.02000242287506457,213.8357473100334,
0.021669291447986617,182.8695552921014,
0.023336160020908665,156.06139195689215,
0.02500302859383071,158.1150592592923,
0.02666989716675276,138.31970976247555,
0.028336765739674807,110.19257396184645,
0.030003634312596852,109.08864146452687,
0.031670502885518904,124.76907688912534,
0.03333737145844095,115.15256279963609,
0.035004240031362995,100.7345097162817,
0.036671108604285046,102.20506641522356,
0.03833797717720709,97.78588968924016,
0.04000484575012914,91.2427076724785,
0.04167171432305119,85.02347338096442,
0.043338582895973234,77.80901256633376,
0.04500545146889528,82.09440672210307,
0.04667232004181733,76.44770252366996,
0.048339188614739376,65.33778999986026,
0.05000605718766142,61.737917389632024,
0.05167292576058347,60.76083762969859,
0.05333979433350552,58.897526024371324,
0.05500666290642756,59.96861725134856,
0.056673531479349615,58.16626835710083,
0.05834040005227166,55.275904891081844,
0.060007268625193705,53.99972459956059,
0.06167413719811576,49.38386956238705,
0.06334100577103781,49.49403117240405,
0.06500787434395985,44.744489800245226,
0.0666747429168819,38.531801925118295,
0.06834161148980394,36.47694239419128,
0.07000848006272599,41.71192540477539,
0.07167534863564803,41.043185747498924,
0.07334221720857009,36.21806968667248,
0.07500908578149214,29.0390626607531,
0.07667595435441418,24.115781143967016,
0.07834282292733623,25.177478263147655,
0.08000969150025827,24.760051275723978,
0.08167656007318032,25.26338718502274,
0.08334342864610238,22.715680405050808,
0.08501029721902442,21.606513624360396,
0.08667716579194647,18.450827892889215,
0.08834403436486851,18.836414758709402,
0.09001090293779056,20.729205557359872,
0.0916777715107126,19.27443090928433,
0.09334464008363466,16.88480218545702,
0.0950115086565567,16.510734445818553,
0.09667837722947875,15.817442058036026,
0.0983452458024008,14.441653884387742,
0.10001211437532284,11.830250439713192,
0.10167898294824489,10.953821937648778,
0.10334585152116695,11.857275320778013,
0.10501272009408899,10.98410492991452,
0.10667958866701104,10.70178839471131,
0.10834645723993308,9.974975792291923,
0.11001332581285513,10.260269940835293,
0.11168019438577718,9.486145198986899,
0.11334706295869923,9.473797156422401,
0.11501393153162127,8.524124013396518,
0.11668080010454332,8.258010781989757,
0.11834766867746536,7.968197080439386,
0.12001453725038741,6.452783755518204,
0.12168140582330947,6.461024333089527,
0.12334827439623151,6.661746499944951,
0.12501514296915356,6.182829108154316,
0.12668201154207562,5.651559146699013,
0.12834888011499765,5.0520919804196005,
0.1300157486879197,5.047483331293879,
0.13168261726084174,5.03125377987134,
0.1333494858337638,4.992236648021768,
0.13501635440668583,4.166138633630673,
0.1366832229796079,4.043938237368005,
0.13835009155252995,3.729714233444635,
0.14001696012545198,3.4722112681331767,
0.14168382869837404,3.8804892560529214,
0.14335069727129607,3.706165242593558,
0.14501756584421813,3.384207177843978,
0.14668443441714019,3.052383654157061,
0.14835130299006222,2.960340022951832,
0.15001817156298428,2.709303621698656,
0.1516850401359063,2.3895250915593156,
0.15335190870882837,2.2775637681322407,
0.1550187772817504,2.4044156617821812,
0.15668564585467246,2.249526803364093,
0.15835251442759452,2.043030162305962,
0.16001938300051655,2.0126434364192174,
0.1616862515734386,1.8778387060037105,
0.16335312014636064,1.6888479202887852,
0.1650199887192827,1.6142487352404733,
0.16668685729220475,1.6189512993384245,
0.16835372586512679,1.3894086670046628,
0.17002059443804884,1.4305416245951437,
0.17168746301097088,1.5113596435079562,
0.17335433158389293,1.421176690180666,
0.175021200156815,1.2878265360637777,
0.17668806872973702,1.2208835370156847,
0.17835493730265908,1.4050399292221067,
0.18002180587558111,1.135726630486367,
0.18168867444850317,0.8768593299521282,
0.1833555430214252,0.9529166024107404,
0.18502241159434726,0.8999123807480591,
0.18668928016726932,0.8753907271298513,
0.18835614874019135,0.8405516809233389,
0.1900230173131134,0.8111268348342251,
0.19168988588603544,0.7257792909596905,
0.1933567544589575,0.6013093528962232,
