z_i [m], wind direction at height z_i [deg]
10.71584720184333,15.10403780814238,
32.67243309562201,12.829576069860778,
55.70510086394019,10.09582834796801,
79.86750128640574,7.15192617167792,
105.21552774389451,4.263243759367151,
131.80778846612952,1.5783942842774137,
159.7056884862902,-0.8536454989087457,
188.97321724216545,-3.0366915937321775,
219.6789729216597,-4.996598307609806,
251.8952548629037,-6.778149591230851,
285.69697864827253,-8.391764984205764,
321.16344016970015,-9.845575520506888,
