f_i [Hz], Energy spectrum for w'U_strmws' at f_i [m4/s3]
0.0016668685729220474,726.9053121648515,
0.003333737145844095,939.1554612168555,
0.005000605718766142,878.0484299421742,
0.00666747429168819,985.2691517391554,
0.008334342864610237,976.2802182590203,
0.010001211437532284,949.4256768716601,
0.011668080010454333,1031.7238142641108,
0.01333494858337638,891.2113026149077,
0.015001817156298426,772.6241835272962,
0.016668685729220475,789.5111522143822,
0.018335554302142523,734.3990755800193,
0.02000242287506457,652.2827409456999,
0.021669291447986617,633.1699723831202,
0.023336160020908665,626.8722555299072,
0.02500302859383071,605.1069277515367,
0.02666989716675276,580.1016116307547,
0.028336765739674807,518.278389055185,
0.030003634312596852,446.5237100147347,
0.031670502885518904,455.7618074470022,
0.03333737145844095,533.9003138921747,
0.035004240031362995,567.7847525563116,
0.036671108604285046,464.59999575516235,
0.03833797717720709,402.0207724978839,
0.04000484575012914,357.00736769580953,
0.04167171432305119,349.6356472571625,
0.043338582895973234,438.29356277237235,
0.04500545146889528,386.1742720185552,
0.04667232004181733,303.2400356683361,
0.048339188614739376,324.2236397736098,
0.05000605718766142,355.81539918800337,
0.05167292576058347,280.4829745812341,
0.05333979433350552,241.93188193573565,
0.05500666290642756,229.58529445317797,
0.056673531479349615,252.19810676085314,
0.05834040005227166,271.78831544687006,
0.060007268625193705,261.54946728203976,
0.06167413719811576,279.876429954936,
0.06334100577103781,215.90734818960752,
0.06500787434395985,176.7142126882544,
0.0666747429168819,221.0288367152363,
0.06834161148980394,212.04540266260125,
0.07000848006272599,219.4114521823762,
0.07167534863564803,199.86299320472307,
0.07334221720857009,190.09120897558384,
0.07500908578149214,171.82528501083402,
0.07667595435441418,186.25066569031245,
0.07834282292733623,197.80069683289423,
0.08000969150025827,181.40373576758358,
0.08167656007318032,156.52410500930728,
0.08334342864610238,148.8754369769776,
0.08501029721902442,123.59541224990522,
0.08667716579194647,120.37399355388534,
0.08834403436486851,130.75640328127434,
0.09001090293779056,124.65913870337499,
0.0916777715107126,110.55574060651374,
0.09334464008363466,97.07013949442124,
0.0950115086565567,82.37173829090726,
0.09667837722947875,95.08187426945004,
0.0983452458024008,96.00916141668283,
0.10001211437532284,90.22436185300545,
0.10167898294824489,75.21403793484673,
0.10334585152116695,76.84189924583796,
0.10501272009408899,77.8488371011736,
0.10667958866701104,61.25754431707164,
0.10834645723993308,68.42369940767072,
0.11001332581285513,68.17177915228396,
0.11168019438577718,55.322433932397324,
0.11334706295869923,55.86438049186113,
0.11501393153162127,62.521009565666205,
0.11668080010454332,59.40797584598408,
0.11834766867746536,58.63246795655709,
0.12001453725038741,62.62279409766825,
0.12168140582330947,48.715082547671436,
0.12334827439623151,45.47253149089197,
0.12501514296915356,45.76791698103714,
0.12668201154207562,38.58600068924319,
0.12834888011499765,41.8758279969194,
0.1300157486879197,41.91805116751009,
0.13168261726084174,40.56154288568378,
0.1333494858337638,41.165125154439224,
0.13501635440668583,36.46825821082486,
