z_i [m], std U streamwise at height z_i [m/s]
10.71584720184333,2.3482722045457547,
32.67243309562201,3.010855603341315,
55.70510086394019,3.3521173090463123,
79.86750128640574,3.4661667080590415,
105.21552774389451,3.3908557586113703,
131.80778846612952,3.2148991949180368,
159.7056884862902,3.034489543495403,
188.97321724216545,2.9041269861783396,
219.6789729216597,2.8242011314146787,
251.8952548629037,2.767457831842126,
285.69697864827253,2.7347084402994875,
321.16344016970015,2.7086131408152556,
