z_i [m], std U cross-stream at height z_i [m/s]
10.71584720184333,2.2999566746731555,
32.67243309562201,2.465799614030798,
55.70510086394019,2.658163688347868,
79.86750128640574,2.9394736747545838,
105.21552774389451,3.2072211102957238,
131.80778846612952,3.377354154431698,
159.7056884862902,3.457973559887671,
188.97321724216545,3.49437109514831,
219.6789729216597,3.5152031785601032,
251.8952548629037,3.5253793633341735,
285.69697864827253,3.5228215287523157,
321.16344016970015,3.505392772861173,
